stars,review
3.0 out of 5 stars,"









  
  
    
  Easy to set up? You would think it is just a matter of plugging it into the TV by the description. Well, it has to be in view of the remote, which probably not the case by plugging it directly into the TV. In my TV the stick is too long to plug into the TV.So you need the HDMI but you will also need a male to female HDMI adapter which doesn’t come with the product.While you may have enough power cord to plug into the USB port in the TV, USB power probably isn’t enough so you should go into a wall plug. The cords sent will probably not reach if you still want to keep the stick in view, so you will need an extension cord.The Get Started instructions fail to go into detail especially about where the stick has to be placed and a need for the HDMI.I decided it wasn’t worth it. I replugged in my old Roku and returned the stick.

  
"
4.0 out of 5 stars,"









  
  
    
  I like this 2019 Roku Stick + better than the previous (2017) version primarily because it puts off less heat.  The previous stick version would physically get very hot.  Then intermittently  a warning would come up on the screen that it was overheating.To resolve that, the power had to be cut to let it cool down.  I purchased a USB hub with power buttons to do that daily.  So far the new version has not felt as hot to the touch nor has a warning popped up.The new version also has a small box integrated into the USB power cord.  This may be the resolution for the heat problem.Other than that, this new version also has includes a mute button on the remote.  It is supposed to have a quad core processor.  I have not noticed any significant speed increase how it operates.  I will say that the sticks have 802.11ac network capability that makes them run better than the Roku Express. which only has up to 802.11n network speed.As for voice recognition, that does not work as well as I would hope.  Many times it does not recognize what I am saying.  So I don’t use it.I purchased many of these for home and as gifts as they were on sale in December for $29 each, which was a good deal.  I have had good feedback from others that it works well.I recommend the Roku Stick + of you want a fast, cooler streaming channel device.By the way, as of this time, the CBS Roku app will not allow use without a CBS ALL ACCESS subscription.  The smart phone app does allow broadcast show access at no extra cost, which can be streamed to a Google Chromecast device, not to Roku.  That is CBS’ choice.

  
"
2.0 out of 5 stars,"









  
  
    
  Was looking forward to replace my clunky ""old-reliable"" Roku box with the sleek Roku Stick. Last night, within 45 minutes of the 1st use, it overheated and I received the following message on my Samsung SmartTV “Your device is overheating”.  The stick overheated 3 times within 90 minutes. Each time, the stick was very hot. I followed the ""Unplug & wait 10 minutes until the unit is cool"" directions. My TV sits on a cabinet. There are no other electronic devices near the TV and there's 10 inches between the back of the TV and the wall. I'm returning the stick and will reinstall my trusty Roku box.

  
"
5.0 out of 5 stars,"









  
  
    
  When it comes to streaming media devices, IMHO Roku is the brand to beat.  I already had an older Roku, which I've used since 2012.  When I decided to move it into my bedroom, I realized I wanted something more than the few ""smart"" apps on my living room TV.  After doing some research I chose to get a Roku Streaming Stick+, and fell in love with it immediately.My girlfriend's bedroom TV had absolutely no ""smart"" features, so I got her a Streaming Stick+; but she decided she didn't want to get into the habit of watching TV in bed (except for the morning newscasts) and gave it to her daughter.  A few months later, she upgraded her bedroom TV -- larger and better screen, but again no ""smart"" apps -- and then she injured her hip and had to spend a couple of weeks off her feet as much as possible.  Ity was nearly Christmas anyway, so I bought her another Streaming Stick+, and this time she loved it!  (She's hooked on ""The Marvelous Mrs. Maisel"".)Then I decided to give a Streaming Stick+ to my sister for Christmas.  Yep, she loves it too!  She prefers classic movies and TV series from her childhood, and the various Roku channels have a wealth of such programming.  Dhr has hinted that she wouldn't mind having a second Streaming Stick+, for her bedroom TV; so I may be guying my fifth one soon.  Or perhaps my fifth and sixth, since the Streaming Stick+ has a few channels available that my original Roku doesn't seem to have.

  
"
1.0 out of 5 stars,"









  
  
    
  The latest update to the “new fire tv”  took a great interface experience and made it laborious and very user unfriendly.  The apps are smaller, harder to see. You have to go through a lot of stuff they are trying to sell you before you can get back to what you were watching last (7 rows down instead of 1st row) I have a hard time imagining any purpose for this upgrade except some tech saying “look I changed a whole lot of stuff”  trying to justify their paycheck.Great Job of taking a silk purse and turning it into a sows ear!

  
"
2.0 out of 5 stars,"









  
  
    
  I’ll start with I love the fire stick. I got this one for my 6 y/o for the voice feature.HOWEVER! It turns off randomly in the middle of shows and restarts itself.  There is no rhyme or reason to why. When it works it is awesome. Tried resetting , tried everything. Don’t let this steer you away but be aware this could happen with this product

  
"
5.0 out of 5 stars,"









  
  
    
  Seems to work just as well as our regular fire stick in the living room. We got this one for our family room TV. Connects well. Really enjoy that we are able to connect to our dish Network app and watch dish on our other TV now instead of having to pay Dish Network to use their Joey.

  
"
1.0 out of 5 stars,"









  
  
    
  I have to restart my fire stick almost every time I use it because it doesn’t want to play sound. I thought it was my tv at first, but the regular cable worked just fine and the fire stick was fine after restarting. Really inconvenient since I’ve only had it for about a month... unfortunately I think at this point I can’t return or exchange it. Overall not impressed with the quality of the fire stick, but I definitely see the benefits of having it make any tv into a smart tv.

  
"
4.0 out of 5 stars,"









  
  
    
  This turns a regular TV into a smart TV. My only issue is that the second day I had it I thought the TV had broken, I had no sound. I checked everything with the TV even unplugged it and plugged back in and still no sound. Then I was thinking maybe it has something to do with the fire stick. I unplugged it and plugged back in and sound was fine. This has happened 8 think 3 times within about 4 days. Kind of a pain. Other than that I like what it does.

  
"
3.0 out of 5 stars,"









  
  
    
  This device freezes my tv up A LOT! I can be in the middle of a movie, right at the end, and it freezes up. Turning tv off and on, unplugging firestick and plugging back in, and even turning the internet off and on doesn't even help. I have to leave it overnight before it will start up again. And this time, it didn't even do that. I thought the issue was with my internet, so I upgraded my internet, sent a Cox technician out who changed settings, but the tv still froze up. Then I switched to GoogleFiber internet a couple days later, that didn't help either. I don't know what to do at this point except to return the Firestick.

  
"
5.0 out of 5 stars,"









  
  
    
  Absolutely love the fire stick. It instantly made our TV smart by providing smart features. I love all of the apps and it even has access to other things like Amazon shopping, free games to play on the TV, you can ask questions like measurement conversions using the voice recognition on the remote. It's small so it doesn't take up a lot of space. It hooks up to the hdmi port on the TV. Love it. I actually bought a 2nd one after trying this out. I'm about to get rid of my cable bill.

  
"
5.0 out of 5 stars,"









  
  
    
  The home menu on this thing populates nicely as you add all your accounts and watch thigns. I like the list of recommendations it gives me and how it goes across some apps. Not ones like hulu. I imagine you give preference to those who pay you money so I don't blame hulu for being buried on this thing.Otherwise it's nice. I do have 4K in my living room but this is great for the bedroom.I don't use any of the voice crap so I can't review..

  
"
5.0 out of 5 stars,"









  
  
    
  Apparently I haven't experienced all firestick is after reading all these comments. As far as I am concerned I am loving my firestick. I dont care it has no tv controls on it. (It wouldn't have had the capacity to change to HDMI3 anyways only my TV controller does) Very very easy to set up. Mine was already attached to my home network. I didnt have to do anything extra.  I got the youtubetv trial and I am enjoying this. I should gotten this along time ago.

  
"
5.0 out of 5 stars,"









  
  
    
  I picked this up to throw in a small TV to put in the garage or move out on the deck. It's great when we're working on stuff or just hanging out outside to be able to put something on to watch or listen to like sports or what have you. The inexpensive stuff means I won't cry if someone steals it, but as with most Fire TV products it works really well.If you're looking for an inexpensive way to stream TV and you're part of the Amazon ecosystem, you cannot go wrong with this.

  
"
5.0 out of 5 stars,"









  
  
    
  As someone who moves around a lot (home, church, and community centers) to teach courses, this has been a life saver and SO EASY to plug and play.  Once it is set up, there is nothing else to do but connect it to WIFI at the location I am using that day!  I absolutely LOVE it!  The ONLY thing I would say is I wish it had screen casting so I could share power point or the screen from my device. But that is not a HUGE deal if I bring my laptop.

  
"
1.0 out of 5 stars,"









  
  
    
  The instructions given don't work. Not sure if my model is defective, but am about to return it. Frustrating!UPDATE: I managed to get the compartment open by slipping a sharp knife in the slot next to it and twisting. So the problem is solved. To my astonishment, I got a phone call this afternoon from an Amazon representative about this (I guess they actually read the reviews!), and he was pleased to hear that I had gotten it open.

  
"
5.0 out of 5 stars,"









  
  
    
  Set thIs up, and used twice , and the unit now doesn’t work. It gives me a green screen. Totally useless.ADDENDUM UPDATE:AMAZON MADE CONTACT WITH ME TO TROUBLESHOOT FIRESTICK LITE. THEY  OFFERED ASSISTANCE, AND IT WAS DISCOVERED A PROBLEM WITH THE AGE OF THE TV AND THE COMPATIBILITY OF THE FIRESTICK WITH THE PORT.THIS WAS GREATLY APPRECIATED, AND THEY WERE MORE THAN COURTEOUS, WANTING THE PRODUCT TO WORK FOR THE CUSTOMER.

  
"
5.0 out of 5 stars,"









  
  
    
  I have to say that it is a great streaming device. I don’t mind that I can’t control volume or channel with the remote. What I do care is how the fire stick brought the tv back to life. I already have a smart tv and I can watch Netflix and all that but when I watch it streaming it through the fire stick, the tv’s picture is enhanced. I am very pleased and will recommend. If I have to say something to work on it might be the fact that when I turn off the tv, the next day I have to reset or restart the fire stick because the apps don’t have volume, but once I restart which is super fast everything goes back to have volume.

  
"
3.0 out of 5 stars,"









  
  
    
  Overall a good device, easy to use and customize with your favorite apps, however, a technical issue causes it to frequently boot up without sound, requiring a restart before it will work properly again. It reboots fairly quickly, but I feel like they've created enough of these fire sticks now that a simple, essential feature like sound should work at least 99% of the time.

  
"
5.0 out of 5 stars,"









  
  
    
  I don't use the voice recognition ....still ""old fashion"" and not a fan of all voice activated stuff.  I do watch some of the movies and the applications that are free (I'm cheap).  I already have a membership to Netflix (it was a gift) which I can also access through the firestick. Took me a bit to get it working correctly (I'm not a ""techy"") but now that I have it working I'd say it was well worth the purchase and do recommend.

  
"
4.0 out of 5 stars,"









  
  
    
  When I first received this, I was constantly having to reset it to work. After talking with support, who was excellent, I reset it to factory and it has worked fine. Bummer was I lost all the apps I had put on it, but having it work was a better trade-off. Apps are easy to install or delete. Customer Service, after I wrote a one star review, contacted me by phone within 10 mins of submitting it. Now that's customer service! Thank you CS.

  
"
4.0 out of 5 stars,"









  
  
    
  I've owned quite a few Fire Sticks over the years, and they changed very slightly if at all. This new one has a different format, so can I take a little getting used to, however I could not get it to sync with my echo Dot. My previous firesticks had no problems. Perhaps because my echo dot is old, but it was extremely frustrating the amount of work I had to put into getting one Alexa device to link with another. It should be seamless and require no effort.

  
"
5.0 out of 5 stars,"









  
  
    
  Was not able to use HBOMax with Comcast & Smart TV because we did not subscribe through Comcast. TV Stick Lite worked like a charm. Only negative is the remote is sluggish- takes a long time to advance show selection manually . Voice recognition was very good. Very easy to set up. Well worth the expense.  Don't use Alexa although I would like to use the Echo to mirror what's on TV (watchHBO) but have not figured out how to do it yet.

  
"
2.0 out of 5 stars,"









  
  
    
  This Firestick freezes at least once a day and the only way to get it back and rebooted is to pull the power connection out and reinstall it. This is totally unacceptable and I am going to return it to Amazon and choose a new replacement. I have had at least 4 or 5 Firesticks over the years and this is the second one that has had problems. This one worked very up until the time the image froze. Hope I have better luck next one.

  
"
2.0 out of 5 stars,"









  
  
    
  Again another half baked idea from Amazon, What good is it if you need two remotes. ( aka TV remote & firestick) to operate your TV. For the price at Best Buy of 17.99 i guess it was worth it verses buying a 1k of 4 new smart TV's. The main problem is going from Hulu, to Prime to Netflix the remote gets stuck and will not let you change services or shows in the middle of a show. You will always have to end an APP and restart surfing otherwise your locked out. Amazon does offer the full remote for $30 but again does the same thing function wise except TV controls are included. Just watch out for all of the add-on's which aren't free and a click of a button and you bought the farm. WARNING KEEP THE REMOTES AWAY FROM YOUR KIDS OR THEY WILL BE BUYING EVERYTHING WITH A CLICK OF A BUTTON AND YOUR CREDIT CARD ON FILE YOUR DONE.

  
"
4.0 out of 5 stars,"









  
  
    
  i love this!! so easy to connect to any TV with an HDMI, any channel you want is available and it’s fast and good quality. bought 3 of these and turned a random non-smart TV that was siting in the garage into a TV with every single streaming service. 10/10 recommend

  
"
5.0 out of 5 stars,"









  
  
    
  Way easier than expected, just sign it into your Amazon account, put in the Code as verification.. that's it lol, easy peasy. Also I somehow am able to watch movie and show free (No I didnt pay or sign up for anything by accident), But I'm grateful cuz I the movies are actually good well known ones, Obviously they have ads but the Quality is 100% A+ perfect. Nice work Amazon, Seriously. I'll reccomend this to many of my family and friends as well.

  
"
5.0 out of 5 stars,"









  
  
    
  Love the firestick. It's been an all around great streaming tool! I have them hooked to every tv in the house. it started out with a ""jailbroken"" firestick that i didn't even use whatever they had on it to call it jail broken i just logged into hulu disney espn and netflix and started streaming it's a breeze to setup all you have to do is hook it to your wifi and connect it to you streaming services and you're up and running!

  
"
4.0 out of 5 stars,"









  
  
    
  I love this thing. I had a bulky console for my kids room prior to this, and now with the stick it takes up less room, no long cables, parental controls are awesome (timers and passwords especially), and with my prime I have access to a ton of shows. However, right off the bat the remote is glitchy. I thought maybe it was too far from the unit or some kind of interference but nothing has helped. Even standing right by the stick does nothing. It set up fine but once all the updates happened it started skipping or not responding. Probably just need a new remote. Love the product otherwise!

  
"
5.0 out of 5 stars,"









  
  
    
  I decided to use my 12-year old plasma television in my bedroom when I bought a new television for the living room. Didn't want to get another cable box and my son recommended getting an Amazon Firestick. The firestick works just as good without the cable box on streaming content. I don't watch much in my bedroom, but having the firestick on my old plasma, I've been streaming shows without interrupting other viewers in the living room.

  
"
2.0 out of 5 stars,"









  
  
    
  After returning the first one because it permanently froze and would not reset I became frustrated with the replacement when I needed to reset it every few days by unplugging and plugging it in. Other than that it is the same thing less the volume controls.

  
"
5.0 out of 5 stars,"









  
  
    
  I love this device. My Panasonic TV was too old to have access to Netflix and Amazon Prime so I purchase the FireTV device. I'm glad I did as the app on the TV only plays through the TV speakers whereas the FireTV is hooked into my A/V receiver so it gets full Dolby surround sound. The only drawback is that I have to use my A/V remote to control the sound and switch back and forth between the FireTV device and my AT&T U-Verse box.

  
"
3.0 out of 5 stars,"









  
  
    
  When it works, it works fine although the navigation is late/slow to respond when you push the button on the remote.  The unfortunate issue is that about once a week, the audio stops working requiring us to unplug and plug the Fire Stick back in to reboot the stick and get the audio working again.

  
"
1.0 out of 5 stars,"









  
  
    
  I am not completely able to use the product for which I bought it for. This product used to stream DISH. I don't know when it quit but it did. I am able to stream Amazon and Netflix but I watch a lot of dish. I tried to get help with a chat and he was speaking way over my head. He didn't know how to translate it to layman's terms. I was given a phone number to call. When I called the phone number I was placed on hold indefinitely. This is on my cell phone that has limited minutes. I am completely wireless right now and this is not going how I thought it would. Very frustrating trying to get through to customer service. There is no way to leave a message. I even have a ticket and there's no way to enter that information or to get them to call me back. I am not going to use my precious minutes for Dead air. If I don't get this hooked up in the next week I will send it back. It's already been two weeks.

  
"
1.0 out of 5 stars,"









  
  
    
  What a cheap remote control first time I dropped it from less than a foot above my wood floor it stopped working. Tried everything but the cheap remote although looks great doesn't work. I would have bought a Fire Stick but they and Xfinity are at odds and Xfinity won't give them permission to have the Xfinity app on a fire stick so I pay the price lol!

  
"
1.0 out of 5 stars,"









  
  
    
  We bought this Roku about two months ago. It streams nicely. One big problem has come up. When you you navigate from one item to another after about three item it jams up and stop working for about 5 or 10 minutes. So we’re ever you end up when it jams your stuck on that movie or item. I would suggest you buy a different stick and this does not seem to have robust processing power to allow you to easily move around. I was very disappointed in this product. In the past Roku was the best but now I am stuck with one that is definitely not very good.

  
"
1.0 out of 5 stars,"









  
  
    
  This device works great, as long as you don't mind replacing the remote batteries every few days. For some reason they are drained with 2-4 days, depending on usage (confirmed by battery meter). From information available online, this is a longstanding issue and ROKU has no interest in resolving it. I complained about this issue thru chat support and was promised an email response, but after 2 weeks no response was forthcoming. Based on other reviews, it is unlikely I will ever hear from ROKU (if I am wrong, ROKU, respond to this review).

  
"
5.0 out of 5 stars,"









  
  
    
  This is our second steaming stick, for our spare bedroom. We've been using our first streaming stick for about 6 months. We replaced our very old (but still functioning) Roku when it wouldn't stream Disney+. We love our streaming stick. It loads apps like Netflix and Disney+ immediately. Navigating within the apps is easy and intuitive. We paired the remote with our TV, and now only use the original remote when we need to switch the TV input away from our Roku. We even took it traveling, and were able to quickly set up the hotel TV to stream our favorite shows.

  
"
3.0 out of 5 stars,"









  
  
    
  This works great for wireless connection and picture quality, but...1) The stick does not support IR (Infrared) communication. It will only use RF (Radio Freq) communication, so you are locked into using this remote (or a universal remote that supports RF). I watch more than just the Roku, so I need to change the input on my TV. The Roku stick+ will NOT allow you to do change input on your TV.2) Be aware, there is a scam! If you try to connect more than 2 Roku devices from your home and get the ""003 error"". If you call the number shown, they will give you some BS story about paying anywhere from $70 to $150 to get it connected. Hang up! Go to the settings on your Roku and reset the stick. It will give you a new valid ID.I returned the Stick+ and purchased the Roku Ultra. The Ultra supports IR and login via your computer to your existing Roku account when you setup your new Roku.

  
"
1.0 out of 5 stars,"









  
  
    
  RETURNING; Useless - literally.Still waiting for necessary HDMI extension to SHIP from Roku(!? almost 1 week...).Roku offers it for free which I guess would be nice, so why not have it in the package already? - especially since they were obviously prepared with an answer to what, I would extrapolate, is a not-uncommon issue of the ""stik"" being too large to fit in limited size HDMI plug-in area on/behind the TV?Instead, $50 paperweight - not for long...Amazon would be wise to offer the extender right along side;""Free"" from Roku is entirely irrelevant if you don't have it.Disappointed as this was our first forray into ""cut cord"", and this device - per extensive research- was our choice as it was otherwise rated well...

  
"
1.0 out of 5 stars,"









  
  
    
  It's such as amazon sham to depict the Disney quick button on the remote in all their images to only send you the original ESPN button on the remote which was their original set.  I wanted what was depicted which was the ""Netflix, Hulu, Disney, Sling""  what I got was Netflix, Hulu, ESPN, Sling""They should send you the correct remote that is advertised an option or which remote you want.  I'll be speaking with Disney that amazon is not sending people the Disney remote they advertise and paying Roku a lot of money for.

  
"
1.0 out of 5 stars,"









  
  
    
  I bought this streaming stick specifically to take with me when I travel. I stay in a lot of hotels and some of them don't have smart TVs. For the ones that do, I don't want them to store my credentials for streaming services.  Having read the reviews and thinking I had done my research, I was confident I made the right choice with the Roku streaming stick. It sounded ideal for my situation, but it turns out connecting to the hotel wifi is a disaster with this thing.I'll preface this with saying I'm an IT consultant and have an extensive background setting up many wireless devices. I've tried 2 different Marriotts in two different states and the method of connecting the device to authenticate simply doesn't work when it requires loading a webpage. I ended up having to connect my laptop to the hotel wifi, enable the hotspot feature, and connect the roku to that in order to work. In other words, I have to have my laptop on if I want the roku to work at all times. It's advertised as a standalone device that can do this by itself.What this device needs is a way to directly open the authentication webpage for hotel wifi directly in the roku interface instead of the method of connecting to the roku via wifi and trying to complete all the steps before the connection troubleshooter turns off the roku access point. It times out too quickly to finish the steps. I tried with 3 different devices: My laptop, phone, and tablet. Each time, the roku timed out the connection before the steps could be completed.I realize not all people are in my situation where they need to travel often. Connecting to your home network is easy and the device works well when it does connect, but having it advertised as working easily with hotel wifi networks that authenticate with a webpage is misleading. I'm planning on using a firestick instead for travel.

  
"
1.0 out of 5 stars,"









  
  
    
  Dont waste your money on this. After 2 weeks using it, the remote stop to works, i changed the batteries, worked for another week, then failed again. I was checking the status of the remote batteries from the Roku Home, and after change the batteries, were on 100%, one day after that, 89%, 5 more days, the remote was dead and they make you to buy a new control for the device.Also the amazon support request to send the device back to them, to check the device and make a refund of the money.After check on google about this matter, a lot of people have the same issue, so this means that amazon sell this devices know it that the device is deffected.Again, do not waster your money on this.

  
"
4.0 out of 5 stars,"









  
  
    
  I've had two Roku's for less than a month.  Both have presented simple black screens and they are non-responsive to remote inputs.  This has forced me to power cycle them.  This isn't a problem for those techno minded, but it is a hassle to have to be the frequent IT person in the house.  The remotes that come with the Roku are not ergonomical.  I have accidently hit the volume mute and down buttons frequently when simply grabbing the device.  The remote is to small to have such controls on the side.Even with these issues, I'm still overall happy that I cut the cable and went with Roku.

  
"
1.0 out of 5 stars,"









  
  
    
  Roku is charging me $100 to activate this ROKU stick!!!!!!!!!!!!!!!!!!!Everything says ""No Charge for setting up an account""!It CLEARLY SAYS THAT A ROKU ACCOUNT IS FREE!!!!!This is a RIP-OFF!!!How can you allow such a False Advertising ????THey have CUT OFF MY accoubt!!!I have had it since becoming a Prime Time member!!!I want  to make a FORMAL COMPLAINT I will vonsult more legal help tomorrow when I can talk to someone.Amazon does not want to listen to my complaint,giving the same ""No oNe is available to hel me!I PAID for this through AMAZ)ON!I am TOTALLY FRUSTRTED!!I NEED HEL FROM YOUR .....team,but I cannot get any.

  
"
5.0 out of 5 stars,"









  
  
    
  Easy setup. Really easy; easier than the Amazon Fire TV. I got this to replace my Fire TV box, being on the fifth one now; it was pretty unreliable. The Roku also gets the Amazon Prime TV, and has dedicated pushbuttons for Hulu, Netflix etc. Part of the setup is to get it to recognize the TV so it's single-button on-off, volume control from the Roku control, also nice. It has much better wifi sensitivity than my old Fire TV box, too. The only mildly annoying part of setup is that you have to go to Roku.com/connect to activate it and finish the setup. Otherwise, it's a snap, took maybe 10 minutes to install and activate Prime, Netflix, and Hulu.

  
"
1.0 out of 5 stars,"









  
  
    
  Third update.  Just keeps getting worse. What was saved with the app on my phone is no longer saved as app has stopped recognizing my roku stick so it is completely unusable.  Crazy enough but it still loads on my TV but with a dud remote and a dud app, there is no way for me to control it for use.  Utter junk product.Second update: it's only gotten worse. I've had to re-pair the roku remote several times while I'll had it. Now the remote is completely dead. Since there are no buttons on the roku stick,  I was worried I wouldn't be able to use it at all. Then I downloaded the app and use my phone to control it. It isn't ideal but at least I can still use my Roku.  Maybe I just got a dud but I still stand by my statement that my old Roku is much more stable.  I won't be buying another Roku stick.Update: not even 2 years in and the remote doesn't work properly. Volume buttons and power button no longer register.  Batteries are new and the roku says they're full strength but the remote still doesn't work right.Original review: Far more glitchy than my original old Roku

  
"
4.0 out of 5 stars,"









  
  
    
  I always need a roku, even with a SmartTV, because of the number of apps available. I have been a loyal user since the first version of the box.I'm happy with this stick except for one small thing (and i do mean small): the power cord is really, really short. Unbelievably short. Unless your TV sits on the ground right next to the power outlet (with the wall outlet fortunately on the same side of the television as the HDMI ports), this cannot be plugged in without a weighty extension cord, which will put strain on the device. Not sure what they were thinking. Surely one of the designers must own an actual television and realize that it's very rare for an HDMI port to be only 3 feet or less from a wall outlet. You either need to get a longer M-F HDMI cable in which to plug the stick, or you can do as I did and plug the stick into a switcher and plug the switcher directly into the TV's HDMI port. There is really no way to plug the stick directly into the TV.Hopefully they'll figure out what a tragic mistake they've made and provide a significantly longer power cord next time.

  
"
1.0 out of 5 stars,"









  
  
    
  The beauty of this stick is that you can plug it into your TV or receiver's USB port as long as the port has sufficient amps to power it. Most modern TVs and receivers do. This way there is no extra power cord dangling from your beautiful wall mounted TV.The problem is that Roku's engineering team really screwed up. Unlike every single other product on the market that remembers the pairing of a remote to the device, Roku's doesn't. So when you shut off your TV or receiver that is powering your Roku stick, then the remote does into pairing mode. It will attempt to find, and pair with, the Roku device until either you turn the TV back on (thus powering up the Roku stick) or until the batteries die. with typical usage having a TV off most of the day and at night while you are sleeping, the batteries in the remote will be dead in 2-3 days.This is unacceptable. Discussion forums on Roku's site have pages and pages of comments on this. Once thread has 122 pages and was closed, only to have a new thread opened.Roku has no fix for this.So, if you are planning on keeping your Roku powered 24/7 by plugging it directly into the wall (and you don't mind having that extra power drain on your utility bill) then the product is fine. But if you are going to power this from your TV, receiver, or a switched outlet (or otherwise have it unpowered when you aren't using it) then the product is useless as you will need to replace the remote batteries every couple of days or alternatively yank the batteries every time you turn your TV off.

  
"
5.0 out of 5 stars,"









  
  
    
  I bought a new TV for my office/craft room and I wanted a new Roku with updated software to go with it.  I bought this on Black Friday so I got it for a great price.  It only took a few minutes to set it up because everything automatically popped up on the screen for me to just hit enter.  I love that it turns my tv on/off and also controls the volume so for the most part, I can use this remote for everything except changing channels when I watch local stations with the aerial.  I will use the tv remote for that.  This Roku remote has voice control and can also be integrated with Alexa.  I haven’t set that up yet but I’m sure it will be a breeze the same way setting it up on the tv was.  I’m very pleased with this purchase.  I have Roku on all my TVs around the house.  I find it easy to navigate and find what I’m looking for.

  
"
5.0 out of 5 stars,"









  
  
    
  Speed is good. Remote suffers periods of non-responsiveness when you first turn the TV on and therefore power the stick on. The voice search has limited usefulness. It says it doesn't support sports. It doesn't work inside of Youtube TV. If you try to use it, it takes you out of the youtube tv app. I saw others complaining about the remote not having a mute button. The one I received had a remote with a mute button. I think this is relatively new as the remote for same roku stick I bought on Black Friday from Walmart.com did not have a mute button. The price was cheaper I guess because it was old stock (with the old remote with no mute) that was being liquidated.  Product ordered going foward will have the remote with the mute button I am guessing.

  
"
3.0 out of 5 stars,"









  
  
    
  Been using a few weeks now and been very pleased with how capable this device is until today. It has begun to overheat while streaming 4k content (the reason I didn't get a cheaper one was to watch 4k...). This unit was extremely hot to the touch. I have it mounted on the back of my open air tv setup with the AC power adapter for reference. I have ordered the HDMI cord in hopes that getting it away from the tv helps but Im skeptical as it is winter right now and my living room is the coolest it will be all year. The streaming stick+ while packed with features cannot dissipate heat well on it's own sadly and is design flaw. After some quick searches this is a wide spread issue so not just a oneoff issue. If the HDMI cord doesnt work I'll probably be asking for a replacement (doubt it'll help)...

  
"
1.0 out of 5 stars,"









  
  
    
  I just want to go on the record and say Roku remotes are crap. I’ve been using Roku since it’s inception, since the first generation Roku. The remotes sucked then (would stop working with good batteries) and it still happens now. I’d love to know the technological issue here - why are Roku remotes so terrible? It’s happened with every Roku I’ve had, which is now about 7. Would love to hear from someone.

  
"
5.0 out of 5 stars,"









  
  
    
  I recently changed my internet provider and was having difficulty getting an older Fire TV device to work with one of the televisions. When this went on sale, the price was really good and having TV remote control wasn't important so I didn't see the point in spending more time on the existing device.  The new Fire stick set up quickly and flawlessly as had every new one I've gotten and has worked well every since.  I'm quite satisfied with it.

  
"
5.0 out of 5 stars,"









  
  
    
  I use the fire stick lite mostly to stream Disney Pkus which is not supported by my internet provider. I ordered two, one for each of our televisions. The order arrived in time. The included directions were clear. The only issue was removing the battery cover. I found the answer on you tube. Use any rubber gloves to make it very easy. The fir sticks were easy to install, and the fire stick gave clear set up instructions. They work just great and are easy to use. The fire stick lite has no volume control, but that is not very important to me. Amazon was having a special which made the cost very reasonable. I would definitely recommend the fire stick lite.

  
"
5.0 out of 5 stars,"









  
  
    
  Prime and Netflix went on the fritz for us about 2 years ago. The screens would fail to load, they'd take FOREVER to load, or it would just plain old crap out.There was nothing wrong with the old fire stick, but apparently Amazon has learned some evil tricks from Microsoft and will force you to upgrade your device in order to run their new shiny software.Well played Amazon. Well played.

  
"
5.0 out of 5 stars,"









  
  
    
  What I don’t like that it does not have a on and off button nor does it have a volume control button! What I do like that for the $29.99 price that it’s one of the fastest device out there in that price range! Easy to add extra storage with a flash drive of any number of storage! Picture quality is awesome it has the same Dolby Atmos as the fire cube and it comes with a guide button with built in Alexa!

  
"
5.0 out of 5 stars,"









  
  
    
  I liked how the fire stick works great with lower end internet service.  While watching movies there were no pauses for buffering  The user interface works really slick you can ether navigate with the arrow keys or voice commands.  The price was inexpensive. It also comes with an adapter cable for hard to fit HDMI locations on your TV.

  
"
5.0 out of 5 stars,"









  
  
    
  I was encouraged to order a Fire TV Stick by my millennial niece during a visit to New Orleans. She impressed upon me the usefulness and versatility of a Fire TV Stick especially during a cable connection mishap. I ordered 3 Fire TV Sticks and received them within 2 days of purchase. I returned to my home in another state and low and behold the cable connection was malfunctioning. I called my software engineer son to explain my challenge with the cable connection and I can't make this up, he asked if I had a FIRE TV STICK! Within an hour he guided me through the process of setting up my FiresTV Stick and I was able to view my favorite programs for 2 days - the length of time it took for my cable company to send out a technician.

  
"
4.0 out of 5 stars,"









  
  
    
  This would have been a perfect streaming device except for the following:1. It comes with small storage capacity and I started getting hard disk full error, and I had to delete most apps.2. Unlike ROKU that gives the option of an SD Card, this did not give you that luxury.3. You cannot connect your USB with this.4. Once it disconnects with your wifi modem, you virtually had to restart is like 2ce before it reconnects.5. It cannot shut off your TV or increase volume even though its a smart TV, they just dont mix.What I love about it is1. The picture clarity is super sharp2. the News channel app can be grouped so you dont need to start searching for the app in the app store3. Voice Assistant is good with search mode4. It integrated with my Echo Dot very easily.Overall Ill give it a 3 because the disk space is just to small. I have removed all my installed apps to like 7 apps and Im still seeing the disk full error. Just so annoying.

  
"
3.0 out of 5 stars,"









  
  
    
  Please read through the 3 star reviews. A lot of people are having the same audio problem. Often this starts up with no sound so it has to be restarted. Amazon needs to fix this with a software or firmware update, or stop selling a faulty product!I bought this as an upgrade from a much older version and it was definitely worth the modest cost. My old fire stick had become very slow when connecting to streaming feeds. There's only one inconvenience with this new one: every now and then it starts up with no sound output. I must go into the settings and restart it, then it's fine. Not a big deal, just a small annoyance. I hope it doesn't get worse over time. Maybe a software update will fix it?

  
"
